rownames,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,color,mpg-prediction
Mazda RX4,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4,#beaed4,24.510455071959058
Mazda RX4 Wag,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4,#beaed4,22.76026807682699
Datsun 710,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1,#beaed4,26.569498595643847
Merc 240D,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2,#beaed4,20.59827237695796
Merc 230,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,#beaed4,20.872811513449268
Merc 280,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,#beaed4,18.882402773887303
Merc 280C,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,#beaed4,18.882402773887303
Fiat 128,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,#beaed4,27.39311600511776
Honda Civic,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,#beaed4,31.4082508763031
Toyota Corolla,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,#beaed4,29.89828562560092
Fiat X1-9,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1,#beaed4,29.211937784372658
Volvo 142E,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2,#beaed4,23.41229852599384
